MaThuoc,TenThuoc
DT 01,TH 01
DT 01,TH 02
DT 02,TH 03
DT 02,TH 04
DT 03,TH 05
DT 03,TH 06
DT 04,TH 07
DT 04,TH 08
DT 05,TH 09
DT 05,TH 10
DT 06,TH 11
DT 06,TH 12
DT 07,TH 13
DT 07,TH 14
DT 08,TH 15
DT 08,TH 16
DT 09,TH 17
DT 09,TH 18
DT 10,TH 19
DT 10,TH 20
DT 11,TH 21
DT 11,TH 22
DT 12,TH 23
DT 12,TH 24
DT 13,TH 25
DT 13,TH 26
DT 14,TH 27
DT 14,TH 28
DT 15,TH 29
DT 15,TH 30
DT 16,TH 31
DT 16,TH 32
DT 17,TH 33
DT 17,TH 34
DT 18,TH 35
DT 18,TH 36
DT 19,TH 37
DT 19,TH 38
DT 20,TH 39
DT 20,TH 40
DT 21,TH 41
DT 21,TH 42
DT 22,TH 43
DT 22,TH 44
DT 23,TH 45
DT 23,TH 46
DT 24,TH 47
DT 24,TH 48
DT 25,TH 49
DT 25,TH 50
DT 26,TH 51
DT 26,TH 52
DT 27,TH 53
DT 27,TH 54
DT 28,TH 55
DT 28,TH 56
DT 29,TH 57
DT 29,TH 58
DT 30,TH 59
DT 30,TH 60
DT 31,TH 61
DT 31,TH 62
DT 32,TH 63
DT 32,TH 64
DT 33,TH 65
DT 33,TH 66
DT 34,TH 67
DT 34,TH 68
DT 35,TH 69
DT 35,TH 70
DT 36,TH 71
DT 36,TH 72
DT 37,TH 73
DT 37,TH 74
DT 38,TH 75
DT 38,TH 76
DT 39,TH 77
DT 39,TH 78
DT 40,TH 79
DT 40,TH 80
DT 41,TH 81
DT 41,TH 82
DT 42,TH 83
DT 42,TH 84
DT 43,TH 85
DT 43,TH 86
DT 44,TH 87
DT 44,TH 88
DT 45,TH 89
DT 45,TH 90
DT 46,TH 91
DT 46,TH 92
DT 47,TH 93
DT 47,TH 94
DT 48,TH 95
DT 48,TH 96
DT 49,TH 97
DT 49,TH 98
DT 50,TH 99
DT 50,TH 100
DT 51,TH 101
DT 51,TH 102
DT 52,TH 103
DT 52,TH 104
DT 53,TH 105
DT 53,TH 106
DT 54,TH 107
DT 54,TH 108
DT 55,TH 109
DT 55,TH 110
DT 56,TH 111
DT 56,TH 112
DT 57,TH 113
DT 57,TH 114
DT 58,TH 115
DT 58,TH 116
DT 59,TH 117
DT 59,TH 118
DT 60,TH 119
DT 60,TH 120
DT 61,TH 121
DT 61,TH 122
DT 62,TH 123
DT 62,TH 124
DT 63,TH 125
DT 63,TH 126
DT 64,TH 127
DT 64,TH 128
DT 65,TH 129
DT 65,TH 130
DT 66,TH 131
DT 66,TH 132
DT 67,TH 133
DT 67,TH 134
DT 68,TH 135
DT 68,TH 136
DT 69,TH 137
DT 69,TH 138
DT 70,TH 139
DT 70,TH 140
DT 71,TH 141
DT 71,TH 142
DT 72,TH 143
DT 72,TH 144
DT 73,TH 145
DT 73,TH 146
DT 74,TH 147
DT 74,TH 148
DT 75,TH 149
DT 75,TH 150
DT 76,TH 151
DT 76,TH 152
DT 77,TH 153
DT 77,TH 154
DT 78,TH 155
DT 78,TH 156
DT 79,TH 157
DT 79,TH 158
DT 80,TH 159
DT 80,TH 160
DT 81,TH 161
DT 81,TH 162
DT 82,TH 163
DT 82,TH 164
DT 83,TH 165
DT 83,TH 166
DT 84,TH 167
DT 84,TH 168
DT 85,TH 169
DT 85,TH 170
DT 86,TH 171
DT 86,TH 172
DT 87,TH 173
DT 87,TH 174
DT 88,TH 175
DT 88,TH 176
DT 89,TH 177
DT 89,TH 178
DT 90,TH 179
DT 90,TH 180
DT 91,TH 181
DT 91,TH 182
DT 92,TH 183
DT 92,TH 184
DT 93,TH 185
DT 93,TH 186
DT 94,TH 187
DT 94,TH 188
DT 95,TH 189
DT 95,TH 190
DT 96,TH 191
DT 96,TH 192
DT 97,TH 193
DT 97,TH 194
DT 98,TH 195
DT 98,TH 196
DT 99,TH 197
DT 99,TH 198
DT 100,TH 199
DT 100,TH 200
DT 101,TH 201
DT 101,TH 202
DT 102,TH 203
DT 102,TH 204
DT 103,TH 205
DT 103,TH 206
DT 104,TH 207
DT 104,TH 208
DT 105,TH 209
DT 105,TH 210
DT 106,TH 211
DT 106,TH 212
DT 107,TH 213
DT 107,TH 214
DT 108,TH 215
DT 108,TH 216
DT 109,TH 217
DT 109,TH 218
DT 110,TH 219
DT 110,TH 220
DT 111,TH 221
DT 111,TH 222
DT 112,TH 223
DT 112,TH 224
DT 113,TH 225
DT 113,TH 226
DT 114,TH 227
DT 114,TH 228
DT 115,TH 229
DT 115,TH 230
DT 116,TH 231
DT 116,TH 232
DT 117,TH 233
DT 117,TH 234
DT 118,TH 235
DT 118,TH 236
DT 119,TH 237
DT 119,TH 238
DT 120,TH 239
DT 120,TH 240
DT 121,TH 241
DT 121,TH 242
DT 122,TH 243
DT 122,TH 244
DT 123,TH 245
DT 123,TH 246
DT 124,TH 247
DT 124,TH 248
DT 125,TH 249
DT 125,TH 250
DT 126,TH 251
DT 126,TH 252
DT 127,TH 253
DT 127,TH 254
DT 128,TH 255
DT 128,TH 256
DT 129,TH 257
DT 129,TH 258
DT 130,TH 259
DT 130,TH 260
DT 131,TH 261
DT 131,TH 262
DT 132,TH 263
DT 132,TH 264
DT 133,TH 265
DT 133,TH 266
DT 134,TH 267
DT 134,TH 268
DT 135,TH 269
DT 135,TH 270
DT 136,TH 271
DT 136,TH 272
DT 137,TH 273
DT 137,TH 274
DT 138,TH 275
DT 138,TH 276
DT 139,TH 277
DT 139,TH 278
DT 140,TH 279
DT 140,TH 280
DT 141,TH 281
DT 141,TH 282
DT 142,TH 283
DT 142,TH 284
DT 143,TH 285
DT 143,TH 286
DT 144,TH 287
DT 144,TH 288
DT 145,TH 289
DT 145,TH 290
DT 146,TH 291
DT 146,TH 292
DT 147,TH 293
DT 147,TH 294
DT 148,TH 295
DT 148,TH 296
DT 149,TH 297
DT 149,TH 298
DT 150,TH 299
DT 150,TH 300
DT 151,TH 301
DT 151,TH 302
DT 152,TH 303
DT 152,TH 304
DT 153,TH 305
DT 153,TH 306
DT 154,TH 307
DT 154,TH 308
DT 155,TH 309
DT 155,TH 310
DT 156,TH 311
DT 156,TH 312
DT 157,TH 313
DT 157,TH 314
DT 158,TH 315
DT 158,TH 316
DT 159,TH 317
DT 159,TH 318
DT 160,TH 319
DT 160,TH 320
DT 161,TH 321
DT 161,TH 322
DT 162,TH 323
DT 162,TH 324
DT 163,TH 325
DT 163,TH 326
DT 164,TH 327
DT 164,TH 328
DT 165,TH 329
DT 165,TH 330
DT 166,TH 331
DT 166,TH 332
DT 167,TH 333
DT 167,TH 334
DT 168,TH 335
DT 168,TH 336
DT 169,TH 337
DT 169,TH 338
DT 170,TH 339
DT 170,TH 340
DT 171,TH 341
DT 171,TH 342
DT 172,TH 343
DT 172,TH 344
DT 173,TH 345
DT 173,TH 346
DT 174,TH 347
DT 174,TH 348
DT 175,TH 349
DT 175,TH 350
DT 176,TH 351
DT 176,TH 352
DT 177,TH 353
DT 177,TH 354
DT 178,TH 355
DT 178,TH 356
DT 179,TH 357
DT 179,TH 358
DT 180,TH 359
DT 180,TH 360
DT 181,TH 361
DT 181,TH 362
DT 182,TH 363
DT 182,TH 364
DT 183,TH 365
DT 183,TH 366
DT 184,TH 367
DT 184,TH 368
DT 185,TH 369
DT 185,TH 370
DT 186,TH 371
DT 186,TH 372
DT 187,TH 373
DT 187,TH 374
DT 188,TH 375
DT 188,TH 376
DT 189,TH 377
DT 189,TH 378
DT 190,TH 379
DT 190,TH 380
DT 191,TH 381
DT 191,TH 382
DT 192,TH 383
DT 192,TH 384
DT 193,TH 385
DT 193,TH 386
DT 194,TH 387
DT 194,TH 388
DT 195,TH 389
DT 195,TH 390
DT 196,TH 391
DT 196,TH 392
DT 197,TH 393
DT 197,TH 394
DT 198,TH 395
DT 198,TH 396
DT 199,TH 397
DT 199,TH 398
DT 200,TH 399
DT 200,TH 400
DT 201,TH 401
DT 201,TH 402
DT 202,TH 403
DT 202,TH 404
DT 203,TH 405
DT 203,TH 406
DT 204,TH 407
DT 204,TH 408
DT 205,TH 409
DT 205,TH 410
DT 206,TH 411
DT 206,TH 412
DT 207,TH 413
DT 207,TH 414
DT 208,TH 415
DT 208,TH 416
DT 209,TH 417
DT 209,TH 418
DT 210,TH 419
DT 210,TH 420
DT 211,TH 421
DT 211,TH 422
DT 212,TH 423
DT 212,TH 424
DT 213,TH 425
DT 213,TH 426
DT 214,TH 427
DT 214,TH 428
DT 215,TH 429
DT 215,TH 430
DT 216,TH 431
DT 216,TH 432
DT 217,TH 433
DT 217,TH 434
DT 218,TH 435
DT 218,TH 436
DT 219,TH 437
DT 219,TH 438
DT 220,TH 439
DT 220,TH 440
DT 221,TH 441
DT 221,TH 442
DT 222,TH 443
DT 222,TH 444
DT 223,TH 445
DT 223,TH 446
DT 224,TH 447
DT 224,TH 448
DT 225,TH 449
DT 225,TH 450
DT 226,TH 451
DT 226,TH 452
DT 227,TH 453
DT 227,TH 454
DT 228,TH 455
DT 228,TH 456
DT 229,TH 457
DT 229,TH 458
DT 230,TH 459
DT 230,TH 460
DT 231,TH 461
DT 231,TH 462
DT 232,TH 463
DT 232,TH 464
DT 233,TH 465
DT 233,TH 466
DT 234,TH 467
DT 234,TH 468
DT 235,TH 469
DT 235,TH 470
DT 236,TH 471
DT 236,TH 472
DT 237,TH 473
DT 237,TH 474
DT 238,TH 475
DT 238,TH 476
DT 239,TH 477
DT 239,TH 478
DT 240,TH 479
DT 240,TH 480
DT 241,TH 481
DT 241,TH 482
DT 242,TH 483
DT 242,TH 484
DT 243,TH 485
DT 243,TH 486
DT 244,TH 487
DT 244,TH 488
DT 245,TH 489
DT 245,TH 490
DT 246,TH 491
DT 246,TH 492
DT 247,TH 493
DT 247,TH 494
DT 248,TH 495
DT 248,TH 496
DT 249,TH 497
DT 249,TH 498
DT 250,TH 499
DT 250,TH 500
DT 251,TH 501
DT 251,TH 502
DT 252,TH 503
DT 252,TH 504
DT 253,TH 505
DT 253,TH 506
DT 254,TH 507
DT 254,TH 508
DT 255,TH 509
DT 255,TH 510
DT 256,TH 511
DT 256,TH 512
DT 257,TH 513
DT 257,TH 514
DT 258,TH 515
DT 258,TH 516
DT 259,TH 517
DT 259,TH 518
DT 260,TH 519
DT 260,TH 520
DT 261,TH 521
DT 261,TH 522
DT 262,TH 523
DT 262,TH 524
DT 263,TH 525
DT 263,TH 526
DT 264,TH 527
DT 264,TH 528
DT 265,TH 529
DT 265,TH 530
DT 266,TH 531
DT 266,TH 532
DT 267,TH 533
DT 267,TH 534
DT 268,TH 535
DT 268,TH 536
DT 269,TH 537
DT 269,TH 538
DT 270,TH 539
DT 270,TH 540
DT 271,TH 541
DT 271,TH 542
DT 272,TH 543
DT 272,TH 544
DT 273,TH 545
DT 273,TH 546
DT 274,TH 547
DT 274,TH 548
DT 275,TH 549
DT 275,TH 550
DT 276,TH 551
DT 276,TH 552
DT 277,TH 553
DT 277,TH 554
DT 278,TH 555
DT 278,TH 556
DT 279,TH 557
DT 279,TH 558
DT 280,TH 559
DT 280,TH 560
DT 281,TH 561
DT 281,TH 562
DT 282,TH 563
DT 282,TH 564
DT 283,TH 565
DT 283,TH 566
DT 284,TH 567
DT 284,TH 568
DT 285,TH 569
DT 285,TH 570
DT 286,TH 571
DT 286,TH 572
DT 287,TH 573
DT 287,TH 574
DT 288,TH 575
DT 288,TH 576
DT 289,TH 577
DT 289,TH 578
DT 290,TH 579
DT 290,TH 580
DT 291,TH 581
DT 291,TH 582
DT 292,TH 583
DT 292,TH 584
DT 293,TH 585
DT 293,TH 586
DT 294,TH 587
DT 294,TH 588
DT 295,TH 589
DT 295,TH 590
DT 296,TH 591
DT 296,TH 592
DT 297,TH 593
DT 297,TH 594
DT 298,TH 595
DT 298,TH 596
DT 299,TH 597
DT 299,TH 598
DT 300,TH 599
DT 300,TH 600
DT 301,TH 601
DT 301,TH 602
DT 302,TH 603
DT 302,TH 604
DT 303,TH 605
DT 303,TH 606
DT 304,TH 607
DT 304,TH 608
DT 305,TH 609
DT 305,TH 610
DT 306,TH 611
DT 306,TH 612
DT 307,TH 613
DT 307,TH 614
DT 308,TH 615
DT 308,TH 616
DT 309,TH 617
DT 309,TH 618
DT 310,TH 619
DT 310,TH 620
DT 311,TH 621
DT 311,TH 622
DT 312,TH 623
DT 312,TH 624
DT 313,TH 625
DT 313,TH 626
DT 314,TH 627
DT 314,TH 628
DT 315,TH 629
DT 315,TH 630
DT 316,TH 631
DT 316,TH 632
DT 317,TH 633
DT 317,TH 634
DT 318,TH 635
DT 318,TH 636
DT 319,TH 637
DT 319,TH 638
DT 320,TH 639
DT 320,TH 640
DT 321,TH 641
DT 321,TH 642
DT 322,TH 643
DT 322,TH 644
DT 323,TH 645
DT 323,TH 646
DT 324,TH 647
DT 324,TH 648
DT 325,TH 649
DT 325,TH 650
DT 326,TH 651
DT 326,TH 652
DT 327,TH 653
DT 327,TH 654
DT 328,TH 655
DT 328,TH 656
DT 329,TH 657
DT 329,TH 658
DT 330,TH 659
DT 330,TH 660
DT 331,TH 661
DT 331,TH 662
DT 332,TH 663
DT 332,TH 664
DT 333,TH 665
DT 333,TH 666
DT 334,TH 667
DT 334,TH 668
DT 335,TH 669
DT 335,TH 670
DT 336,TH 671
DT 336,TH 672
DT 337,TH 673
DT 337,TH 674
DT 338,TH 675
DT 338,TH 676
DT 339,TH 677
DT 339,TH 678
DT 340,TH 679
DT 340,TH 680
DT 341,TH 681
DT 341,TH 682
DT 342,TH 683
DT 342,TH 684
DT 343,TH 685
DT 343,TH 686
DT 344,TH 687
DT 344,TH 688
DT 345,TH 689
DT 345,TH 690
DT 346,TH 691
DT 346,TH 692
DT 347,TH 693
DT 347,TH 694
DT 348,TH 695
DT 348,TH 696
DT 349,TH 697
DT 349,TH 698
DT 350,TH 699
DT 350,TH 700
DT 351,TH 701
DT 351,TH 702
DT 352,TH 703
DT 352,TH 704
DT 353,TH 705
DT 353,TH 706
DT 354,TH 707
DT 354,TH 708
DT 355,TH 709
DT 355,TH 710
DT 356,TH 711
DT 356,TH 712
DT 357,TH 713
DT 357,TH 714
DT 358,TH 715
DT 358,TH 716
DT 359,TH 717
